,location,size,total_sqft,bath,price,bhk,price_per_sqft
7107,LB Shastri Nagar,1 BHK,665.0,1.0,32.0,1,4812.0300751879695
7108,Sector 2 HSR Layout,3 BHK,1665.0,3.0,110.0,3,6606.606606606607
7109,Electronics City Phase 1,2 BHK,1145.0,2.0,54.0,2,4716.157205240174
7110,Whitefield,2 BHK,1185.0,2.0,41.0,2,3459.915611814346
7111,2nd Phase JP Nagar,3 Bedroom,1200.0,3.0,190.0,3,15833.333333333334
7112,Marathahalli,3 BHK,1693.0,3.0,125.0,3,7383.343177790904
7113,Dollars Layout,3 BHK,2456.0,3.0,220.0,3,8957.654723127036
7114,Rajaji Nagar,3 BHK,2559.0,3.0,403.0,3,15748.339194998047
7115,Uttarahalli,2 BHK,1155.0,2.0,40.6,2,3515.151515151515
7116,Divya Unnathi Layout,3 BHK,1610.0,2.0,64.4,3,4000.0000000000005
7117,Whitefield,3 Bedroom,1200.0,3.0,56.58,3,4715.0
7118,Anjana Nagar,2 Bedroom,1530.0,2.0,185.0,2,12091.503267973856
7119,EPIP Zone,3 BHK,1709.0,3.0,80.0,3,4681.100058513751
7120,Amruthahalli,4 Bedroom,600.0,4.0,60.0,4,10000.0
7121,Brookefield,8 Bedroom,2700.0,8.0,290.0,8,10740.74074074074
7122,Subramanya Nagar,1 Bedroom,840.0,1.0,150.0,1,17857.14285714286
7123,Gottigere,3 BHK,1400.0,2.0,50.0,3,3571.4285714285716
7124,KR Puram,2 BHK,1200.0,2.0,42.0,2,3500.0
7125,Janatha Colony,3 BHK,1439.0,3.0,57.23,3,3977.067407922168
7126,Kasavanhalli,2 BHK,1375.0,2.0,72.0,2,5236.363636363636
7127,BTM 2nd Stage,5 Bedroom,2990.0,5.0,416.0,5,13913.04347826087
7128,Vijayanagar,3 BHK,1200.0,2.0,75.0,3,6250.0
7129,Yelahanka,2 BHK,1315.0,2.0,75.0,2,5703.42205323194
7130,Dommasandra,2 Bedroom,1500.0,2.0,40.0,2,2666.6666666666665
7131,Yelahanka,6 Bedroom,3600.0,6.0,200.0,6,5555.555555555556
7132,Vijayanagar,2 BHK,1178.0,2.0,82.0,2,6960.950764006791
7133,Bannerghatta Road,3 BHK,1430.0,3.0,59.0,3,4125.874125874126
7134,Mahadevpura,3 BHK,1400.0,2.0,65.8,3,4700.0
7135,Thanisandra,2 BHK,1093.0,2.0,72.0,2,6587.374199451052
7136,Horamavu Banaswadi,2 BHK,1200.0,2.0,45.0,2,3750.0
7137,Magadi Road,5 Bedroom,5000.0,6.0,360.0,5,7200.0
7138,1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
7139,Whitefield,3 BHK,2210.0,3.0,156.0,3,7058.823529411765
7140,Uttarahalli,2 BHK,1150.0,2.0,70.0,2,6086.95652173913
7141,Silk Board,3 BHK,1435.0,2.0,60.0,3,4181.184668989547
7142,Mathikere,4 Bedroom,600.0,3.0,100.0,4,16666.666666666668
7143,Whitefield,2 BHK,1173.0,2.0,78.2,2,6666.666666666667
7144,Thanisandra,2 BHK,1140.0,2.0,39.0,2,3421.0526315789475
7145,Jakkur Plantation,3 BHK,1717.0,3.0,120.0,3,6988.934187536401
7146,Mallasandra,2 BHK,1325.0,2.0,65.0,2,4905.66037735849
7147,Hoodi,3 BHK,1370.0,3.0,67.0,3,4890.510948905109
7148,Electronics City Phase 1,2 BHK,1025.0,2.0,90.0,2,8780.487804878048
7149,Doddakammanahalli,3 BHK,1409.0,2.0,62.0,3,4400.28388928318
7150,Bellandur,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
7151,Thanisandra,2 BHK,1200.0,2.0,53.5,2,4458.333333333333
7152,Whitefield,3 BHK,1740.0,4.0,130.0,3,7471.264367816092
7153,Hennur Road,2 BHK,1232.0,2.0,88.0,2,7142.857142857143
7154,Chandapura,2 Bedroom,1200.0,2.0,36.0,2,3000.0
7155,Whitefield,4 BHK,5924.0,4.0,625.0,4,10550.303848750844
7156,Veersandra,2 BHK,1250.0,2.0,50.0,2,4000.0
7157,Munivenkatppa Layout,2 BHK,1475.0,2.0,171.0,2,11593.22033898305
7158,Bommanahalli,4 BHK,2100.0,4.0,85.0,4,4047.6190476190477
7159,5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1,4257.246376811594
7160,Uttarahalli,3 BHK,1065.0,2.0,42.59,3,3999.06103286385
7161,Hennur,3 Bedroom,1000.0,3.0,130.0,3,13000.0
7162,Lakshmipura,2 Bedroom,1225.0,2.0,65.0,2,5306.122448979592
7163,Harsha Layout,1 BHK,650.0,1.0,16.0,1,2461.5384615384614
7164,Padmanabhanagar,2 BHK,1067.0,2.0,52.0,2,4873.477038425492
7165,Sarjapur,3 BHK,1364.0,2.0,56.0,3,4105.571847507332
7166,Tata Nagar,3 BHK,1750.0,3.0,75.0,3,4285.714285714285
7167,Bannerghatta Road,2 BHK,1240.0,2.0,71.0,2,5725.806451612903
7168,Hulimavu,2 Bedroom,1200.0,2.0,75.0,2,6250.0
7169,Kaggadasapura,3 BHK,1540.0,3.0,75.0,3,4870.12987012987
7170,Sathya Layout,3 BHK,1504.0,2.0,102.0,3,6781.914893617021
7171,New Thippasandra,2 BHK,1116.0,2.0,49.8,2,4462.365591397849
7172,Hennur Road,3 BHK,2365.0,4.0,175.0,3,7399.577167019028
7173,Sarjapura - Attibele Road,2 BHK,1308.0,2.0,37.0,2,2828.7461773700306
7174,Vijayanagar,2 BHK,864.0,2.0,45.0,2,5208.333333333333
7175,Vidyaranyapura,5 Bedroom,1200.0,5.0,139.0,5,11583.333333333334
7176,Hoskote,3 BHK,1069.0,2.0,38.0,3,3554.724041159963
7177,Hebbal,2 BHK,1333.0,2.0,100.0,2,7501.875468867217
7178,Chennammana Kere,4 BHK,1800.0,4.0,145.0,4,8055.555555555556
7179,Devanahalli,4 Bedroom,6136.0,4.0,550.0,4,8963.49413298566
7180,Thanisandra,3 BHK,1698.0,3.0,107.0,3,6301.531213191991
7181,JP Nagar,3 BHK,1275.0,2.0,43.6,3,3419.607843137255
7182,Raja Rajeshwari Nagar,2 BHK,1060.0,2.0,48.0,2,4528.301886792453
7183,Hennur,2 BHK,1160.0,2.0,49.0,2,4224.137931034483
7184,Sarjapur  Road,3 BHK,1484.0,2.0,65.0,3,4380.053908355795
7185,Hosa Road,3 Bedroom,675.0,3.0,70.0,3,10370.37037037037
7186,BEML Layout,3 Bedroom,1200.0,5.0,325.0,3,27083.333333333332
7187,Hennur Road,2 BHK,1310.0,2.0,66.0,2,5038.167938931298
7188,Vijayanagar,6 Bedroom,1806.0,6.0,370.0,6,20487.264673311183
7189,Shanti Nagar,4 BHK,3000.0,4.0,240.0,4,8000.0
7190,Varthur,3 BHK,2145.0,3.0,165.0,3,7692.307692307692
7191,Marathahalli,3 BHK,1693.0,3.0,125.0,3,7383.343177790904
7192,Jigani,3 BHK,1230.0,3.0,60.0,3,4878.048780487805
7193,Devanahalli,3 Bedroom,1200.0,3.0,145.0,3,12083.333333333334
7194,Bommasandra Industrial Area,3 BHK,1310.0,2.0,37.83,3,2887.7862595419847
7195,Tigalarpalya,2 BHK,1150.0,2.0,60.0,2,5217.391304347826
7196,Munnekollal,3 BHK,1385.0,2.0,66.5,3,4801.444043321299
7197,Tumkur Road,2 BHK,1066.0,2.0,52.5,2,4924.953095684803
7198,Thanisandra,3 BHK,2293.0,3.0,80.26,3,3500.2180549498476
7199,Tindlu,3 Bedroom,720.0,3.0,81.0,3,11250.0
7200,2nd Block Bel Layout,3 BHK,1625.0,3.0,92.0,3,5661.538461538462
7201,Vittasandra,2 BHK,1246.0,2.0,67.4,2,5409.309791332264
7202,Vijayanagar,4 Bedroom,2100.0,6.0,252.0,4,12000.0
7203,sarjapura main road,4 BHK,2400.0,4.0,250.0,4,10416.666666666666
7204,Raja Rajeshwari Nagar,6 Bedroom,3900.0,6.0,195.0,6,5000.0
7205,7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065.000000000001
7206,Nagavarapalya,2 BHK,907.0,2.0,38.0,2,4189.636163175303
7207,Ulsoor,4 Bedroom,3500.0,4.0,138.0,4,3942.8571428571427
7208,Varthur,3 BHK,1395.0,2.0,79.0,3,5663.082437275985
7209,Kumbena Agrahara,2 BHK,1180.0,2.0,50.0,2,4237.28813559322
7210,Banaswadi,5 Bedroom,1903.0,6.0,140.0,5,7356.8050446663165
7211,Electronic City,2 BHK,1175.0,2.0,47.0,2,4000.0
7212,Coconut Grove Layout,2 BHK,1272.0,2.0,51.5,2,4048.7421383647797
7213,Hiremath Layout,3 BHK,1490.0,2.0,92.0,3,6174.496644295302
7214,Yeshwanthpur,2 BHK,1144.0,2.0,67.0,2,5856.643356643357
7215,Anekal - Hosur Road,4 Bedroom,2400.0,5.0,140.0,4,5833.333333333333
7216,Hormavu,2 BHK,1143.0,2.0,53.0,2,4636.920384951881
7217,Karuna Nagar,3 Bedroom,2500.0,3.0,190.0,3,7600.0
7218,Whitefield,2 BHK,1216.0,2.0,75.0,2,6167.763157894737
7219,Nallurhalli,2 BHK,1044.0,2.0,60.0,2,5747.126436781609
7220,Prithvi Layout,2 BHK,1352.0,3.0,93.0,2,6878.698224852071
7221,Hennur Road,3 BHK,1552.0,3.0,75.0,3,4832.474226804124
7222,Bellandur,3 BHK,1785.0,3.0,120.0,3,6722.689075630252
7223,Pai Layout,2 BHK,810.0,2.0,34.5,2,4259.259259259259
7224,Banashankari Stage V,3 BHK,1650.0,3.0,51.98,3,3150.3030303030305
7225,Akshayanagara East,3 BHK,1595.0,3.0,70.39,3,4413.166144200627
7226,Whitefield,2 BHK,1060.0,2.0,35.0,2,3301.8867924528304
7227,Babusapalaya,3 BHK,1410.0,2.0,65.0,3,4609.929078014185
7228,Nagarbhavi,3 BHK,1523.0,2.0,56.0,3,3676.9533814839133
7229,Kanakpura Road,3 BHK,1591.0,3.0,122.0,3,7668.133249528599
7230,Ashwath Nagar,3 BHK,1640.0,3.0,84.0,3,5121.951219512195
7231,Yelahanka New Town,1 BHK,450.0,1.0,16.0,1,3555.5555555555557
7232,Bannerghatta Road,3 BHK,1305.0,2.0,60.0,3,4597.701149425287
7233,Yelahanka,3 BHK,1590.0,3.0,54.0,3,3396.2264150943397
7234,Kaggadasapura,2 BHK,1240.0,2.0,45.0,2,3629.032258064516
7235,MCECHS  layout,2 BHK,1200.0,2.0,54.0,2,4500.0
7236,Dodda Nekkundi,2 BHK,1100.0,2.0,41.16,2,3741.8181818181815
7237,Koramangala,2 BHK,1180.0,2.0,128.0,2,10847.457627118643
7238,Sarjapur  Road,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
7239,Bisuvanahalli,2 BHK,845.0,2.0,33.0,2,3905.3254437869823
7240,4th Block Jayanagar,3 BHK,1567.2,2.0,190.0,3,12123.532414497193
7241,Channasandra,3 BHK,1310.0,2.0,45.0,3,3435.114503816794
7242,Yelahanka,1 Bedroom,26136.0,1.0,150.0,1,573.921028466483
7243,Jyothi Nagar,2 BHK,959.0,2.0,42.5,2,4431.699687174139
7244,8th Phase JP Nagar,4 BHK,1200.0,4.0,140.0,4,11666.666666666666
7245,Kambipura,2 BHK,883.0,2.0,37.0,2,4190.260475651189
7246,Rachenahalli,2 BHK,1050.0,2.0,55.5,2,5285.714285714285
7247,Yelahanka,2 BHK,1390.0,2.0,70.21,2,5051.079136690647
7249,Kenchenahalli,3 BHK,1280.0,2.0,69.0,3,5390.625
7250,Lingarajapuram,7 Bedroom,1280.0,5.0,150.0,7,11718.75
7251,Yelahanka,3 BHK,1614.0,3.0,95.0,3,5885.9975216852545
7252,Kasturi Nagar,2 BHK,1000.0,2.0,58.0,2,5800.0
7253,Marathahalli,2 BHK,1196.0,2.0,57.9,2,4841.13712374582
7254,Sarjapur  Road,3 BHK,1220.0,3.0,57.0,3,4672.131147540984
7255,Ambalipura,2 BHK,950.0,2.0,31.95,2,3363.157894736842
7256,Doddabommasandra,9 BHK,2400.0,8.0,325.0,9,13541.666666666666
7257,Akshaya Vana,2 BHK,1141.0,2.0,55.0,2,4820.333041191937
7258,5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2,4250.0
7259,Kasavanhalli,3 BHK,1380.0,2.0,55.0,3,3985.5072463768115
7260,Doddathoguru,2 BHK,855.0,2.0,32.0,2,3742.690058479532
7261,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
7262,Chandapura,2 BHK,922.0,2.0,36.0,2,3904.5553145336225
7263,Nagappa Reddy Layout,2 BHK,1200.0,2.0,43.2,2,3600.0
7264,Nagadevanahalli,3 BHK,1240.0,2.0,65.0,3,5241.935483870968
7265,7th Phase JP Nagar,2 BHK,1070.0,2.0,42.0,2,3925.233644859813
7266,Rajiv Gandhi Nagar,2 BHK,1293.0,2.0,75.0,2,5800.46403712297
7267,R.T. Nagar,3 BHK,1380.0,2.0,50.0,3,3623.1884057971015
7268,Yelahanka New Town,3 BHK,1599.0,3.0,80.0,3,5003.126954346467
7269,Nehru Nagar,2 BHK,967.0,2.0,41.1,2,4250.258531540848
7270,Silver Springs Layout,3 BHK,1885.0,3.0,90.0,3,4774.535809018567
7271,1st Block Koramangala,2 BHK,860.0,2.0,65.5,2,7616.279069767442
7272,Yelahanka,1 Bedroom,1075.0,1.0,19.5,1,1813.953488372093
7273,Sarjapur  Road,2 BHK,1050.0,2.0,63.5,2,6047.619047619048
7274,Marathahalli,3 BHK,1595.0,3.0,88.0,3,5517.241379310345
7275,Sarjapur  Road,2 BHK,1350.0,2.0,102.0,2,7555.555555555556
7276,Hebbal,2 BHK,1204.0,2.0,45.0,2,3737.5415282392028
7277,Sarjapur  Road,4 BHK,2990.0,4.0,240.0,4,8026.755852842809
7278,Sarjapur  Road,2 BHK,1035.0,2.0,49.0,2,4734.299516908212
7279,ITPL,2 BHK,1000.0,2.0,29.95,2,2995.0
7280,Sarjapur  Road,3 BHK,1457.0,3.0,85.0,3,5833.905284831846
7281,Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
7282,Bannerghatta,2 BHK,1100.0,2.0,66.0,2,6000.0
7283,Whitefield,3 BHK,1655.0,3.0,120.0,3,7250.755287009063
7284,Kanakpura Road,3 BHK,1691.2,3.0,115.0,3,6799.905392620624
7285,Ramagondanahalli,2 BHK,1215.0,2.0,46.1,2,3794.238683127572
7286,Kanakpura Road,2 BHK,1155.0,2.0,50.125,2,4339.82683982684
7287,Hoodi,3 BHK,1639.0,3.0,129.0,3,7870.65283709579
7288,Sarjapur  Road,3 BHK,1685.0,3.0,135.0,3,8011.86943620178
7289,Kaveri Nagar,5 Bedroom,1008.0,4.0,180.0,5,17857.14285714286
7290,Hormavu,2 BHK,1100.0,2.0,38.0,2,3454.5454545454545
7291,Marathahalli,3 BHK,2122.0,3.0,125.0,3,5890.66918001885
7292,Vasanthapura,2 BHK,1050.0,2.0,47.0,2,4476.190476190476
7293,Kengeri,2 BHK,1230.0,2.0,45.0,2,3658.5365853658536
7294,5th Phase JP Nagar,3 BHK,1240.0,3.0,60.0,3,4838.709677419355
7295,Electronic City Phase II,3 BHK,1252.0,2.0,65.0,3,5191.693290734825
7296,Canara Bank Colony,3 BHK,1374.0,2.0,88.0,3,6404.657933042213
7297,8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1,6000.0
7298,Arekere,8 Bedroom,1200.0,8.0,225.0,8,18750.0
7299,Hebbal,3 BHK,1355.0,3.0,83.87,3,6189.667896678967
7300,Banashankari,2 BHK,1040.0,2.0,45.0,2,4326.923076923077
7301,Sarjapur  Road,2 BHK,1350.0,2.0,68.0,2,5037.037037037037
7302,Whitefield,4 BHK,4003.0,6.0,300.0,4,7494.379215588308
7303,Hennur,3 BHK,2400.0,3.0,135.0,3,5625.0
7304,Haralur Road,3 BHK,1560.0,3.0,90.0,3,5769.2307692307695
7305,Anandapura,2 BHK,1151.0,2.0,43.16,2,3749.7827975673326
7306,Uttarahalli,3 BHK,1360.0,2.0,47.59,3,3499.264705882353
7307,Crimson Layout,2 BHK,1250.0,2.0,60.0,2,4800.0
7308,Chandapura,3 BHK,1110.0,2.0,29.97,3,2700.0
7309,Hennur Road,2 BHK,1015.0,2.0,50.0,2,4926.108374384236
7310,Kadugodi,3 BHK,1351.0,2.0,78.0,3,5773.501110288675
7311,Yelahanka New Town,2 BHK,960.0,2.0,50.0,2,5208.333333333333
7312,Virat Nagar,2 BHK,1110.0,2.0,52.0,2,4684.684684684685
7313,R.T. Nagar,3 BHK,1680.0,3.0,72.0,3,4285.714285714285
7314,Arekere,3 Bedroom,2400.0,3.0,180.0,3,7500.0
7315,Yemlur,4 Bedroom,11000.0,5.0,2000.0,4,18181.81818181818
7316,Ramamurthy Nagar Extension,3 BHK,1350.0,3.0,48.6,3,3600.0
7317,Horamavu Banaswadi,2 BHK,1254.0,2.0,47.0,2,3748.006379585327
7318,Haralur Road,3 BHK,1255.0,3.0,115.0,3,9163.346613545817
7319,CV Raman Nagar,2 BHK,1051.0,2.0,61.0,2,5803.996194100856
7320,"2nd phase jp nagar, jp nagar",3 Bedroom,1200.0,3.0,205.0,3,17083.333333333332
7321,Uttarahalli,2 BHK,1099.0,2.0,65.0,2,5914.467697907188
7322,Hebbal,3 BHK,2650.0,4.0,199.0,3,7509.433962264151
7323,Mathikere Extension,4 Bedroom,2000.0,2.0,160.0,4,8000.0
7324,Yeshwanthpur,2 BHK,1541.0,2.0,130.0,2,8436.080467229072
7325,Sarjapur  Road,3 Bedroom,1200.0,3.0,70.0,3,5833.333333333333
7326,Whitefield,2 BHK,1125.0,2.0,45.0,2,4000.0
7327,Vittasandra,3 BHK,1650.0,3.0,85.0,3,5151.515151515152
7328,Ashwini layout,1 BHK,834.0,1.0,62.0,1,7434.052757793765
7329,Gollarapalya Hosahalli,3 BHK,1320.0,3.0,60.0,3,4545.454545454545
7330,Malleshpalya,3 Bedroom,1200.0,3.0,149.0,3,12416.666666666666
7331,Indra Nagar,8 Bedroom,1000.0,7.0,160.0,8,16000.0
7332,Mysore Road,3 BHK,1500.0,3.0,74.0,3,4933.333333333333
7333,Whitefield,4 Bedroom,4400.0,5.0,500.0,4,11363.636363636364
7335,Moodalapalya,1 Bedroom,600.0,1.0,52.0,1,8666.666666666666
7336,Whitefield,2 BHK,1180.0,2.0,70.0,2,5932.203389830508
7337,Kadugodi,2 BHK,1010.0,2.0,50.0,2,4950.495049504951
7338,Channasandra,2 BHK,1070.0,2.0,38.0,2,3551.4018691588785
7339,Choodasandra,3 BHK,1580.0,3.0,105.0,3,6645.569620253164
7340,BEML Layout 5th Stage,4 Bedroom,1200.0,5.0,325.0,4,27083.333333333332
7341,Green Glen Layout,3 BHK,2000.0,3.0,165.0,3,8250.0
7342,Iblur Village,3 BHK,1920.0,3.0,130.0,3,6770.833333333333
7343,Sanjay nagar,3 BHK,1200.0,2.0,76.0,3,6333.333333333333
7344,Kalena Agrahara,2 BHK,1040.0,2.0,45.0,2,4326.923076923077
7345,Hulimavu,3 BHK,1430.0,2.0,90.0,3,6293.706293706294
7346,Uttarahalli,3 BHK,1215.0,2.0,52.85,3,4349.794238683127
7347,Domlur,1 BHK,650.0,1.0,70.0,1,10769.23076923077
7348,Thanisandra,3 BHK,1564.0,3.0,105.0,3,6713.5549872122765
7349,Manonarayanapalya,3 Bedroom,800.0,2.0,52.0,3,6500.0
7350,Hormavu,2 Bedroom,750.0,2.0,58.0,2,7733.333333333333
7351,Kasavanhalli,2 BHK,1200.0,2.0,60.0,2,5000.0
7352,Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,48.79,2,4325.354609929078
7353,Begur Road,2 BHK,1200.0,2.0,44.4,2,3700.0
7354,Cholanayakanahalli,4 BHK,2000.0,4.0,135.0,4,6750.0
7355,Jakkur Plantation,3 BHK,2750.0,3.0,260.0,3,9454.545454545454
7356,4th T block Jayanagar,4 Bedroom,2400.0,4.0,480.0,4,20000.0
7357,Yelahanka,3 BHK,1650.0,3.0,105.0,3,6363.636363636364
7358,1st Block Jayanagar,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
7359,Yelahanka,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
7360,M V Extenstion,6 BHK,900.0,5.0,100.0,6,11111.111111111111
7361,Kengeri Satellite Town,2 BHK,985.0,2.0,42.0,2,4263.959390862944
7362,Ramagondanahalli,3 BHK,1475.0,2.0,63.0,3,4271.186440677966
7363,Hebbal,3 BHK,3450.0,5.0,348.0,3,10086.95652173913
7364,Sarjapur  Road,3 BHK,1157.0,2.0,53.99,3,4666.3785652549695
7365,Canara Bank Colony,2 BHK,900.0,2.0,35.0,2,3888.8888888888887
7366,Gottigere,4 Bedroom,2500.0,3.0,120.0,4,4800.0
7367,GM Palaya,2 BHK,1030.0,2.0,60.0,2,5825.242718446602
7368,Kamdhenu Nagar,2 BHK,1000.0,2.0,46.0,2,4600.0
7369,Sarjapur  Road,4 Bedroom,3800.0,3.0,325.0,4,8552.631578947368
7370,Kasavanhalli,4 Bedroom,4260.0,4.0,333.0,4,7816.901408450704
7371,Brookefield,5 Bedroom,1950.0,6.0,175.0,5,8974.358974358975
7372,Kudlu,3 BHK,1570.0,2.0,65.94,3,4200.0
7373,Kanakapura,2 BHK,1283.0,2.0,68.0,2,5300.077942322681
7374,Electronic City Phase II,3 BHK,875.0,2.0,40.0,3,4571.428571428572
7375,Vinayaka Nagar,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
7376,HAL 2nd Stage,3 Bedroom,2700.0,3.0,500.0,3,18518.51851851852
7377,Konanakunte,3 Bedroom,2400.0,2.0,180.0,3,7500.0
7378,Kathriguppe,3 BHK,1250.0,2.0,68.75,3,5500.0
7379,Old Madras Road,4 BHK,3630.0,6.0,196.0,4,5399.449035812672
7380,Yelahanka,2 BHK,990.0,2.0,37.62,2,3799.9999999999995
7381,Panathur,2 BHK,1199.0,2.0,85.0,2,7089.241034195163
7382,Brindavan Nagar,2 BHK,1280.0,2.0,90.0,2,7031.25
7383,1st Block Jayanagar,4 BHK,2750.0,4.0,413.0,4,15018.181818181818
7384,Reliaable Tranquil Layout,2 BHK,1190.0,2.0,55.0,2,4621.848739495798
7385,Yelachenahalli,2 BHK,1100.0,2.0,60.0,2,5454.545454545455
7386,RMV,3 BHK,2075.0,3.0,175.0,3,8433.734939759037
7387,Harlur,2 BHK,1133.0,2.0,55.0,2,4854.368932038835
7388,Somasundara Palya,4 BHK,2400.0,3.0,140.0,4,5833.333333333333
7389,Whitefield,2 BHK,1280.0,2.0,69.0,2,5390.625
7390,Horamavu Agara,3 BHK,1250.0,3.0,65.0,3,5200.0
7391,Begur Road,3 BHK,1565.0,2.0,49.3,3,3150.1597444089457
7392,Pattanagere,3 BHK,1900.0,3.0,65.0,3,3421.0526315789475
7393,Munnekollal,2 BHK,1080.0,2.0,45.0,2,4166.666666666667
7394,Battarahalli,1 BHK,600.0,1.0,47.0,1,7833.333333333333
7395,Himagiri Meadows,3 Bedroom,1240.0,4.0,180.0,3,14516.129032258064
7396,HRBR Layout,3 BHK,1335.0,2.0,87.0,3,6516.853932584269
7397,Vittasandra,2 BHK,1246.0,2.0,67.3,2,5401.284109149277
7399,Sarjapur  Road,3 BHK,1385.0,3.0,55.0,3,3971.1191335740073
7400,Govindpura,3 BHK,1578.0,3.0,73.9,3,4683.143219264893
7401,HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
7402,Sarjapur  Road,3 BHK,1700.0,3.0,79.9,3,4700.000000000001
7403,Ganganahalli,4 Bedroom,1050.0,4.0,90.0,4,8571.42857142857
7404,Vidyaranyapura,2 BHK,1120.0,2.0,70.0,2,6250.0
7405,Electronic City,1 BHK,435.0,1.0,22.0,1,5057.471264367816
7406,Magadi Road,2 BHK,1116.0,2.0,51.89,2,4649.641577060932
7407,Old Madras Road,3 BHK,1480.0,3.0,95.0,3,6418.918918918919
7408,Hormavu,2 BHK,1000.0,2.0,50.0,2,5000.0
7409,HSR Layout,2 BHK,1145.0,2.0,46.0,2,4017.467248908297
7410,Bommasandra,2 BHK,800.0,1.0,32.0,2,4000.0
7411,Thanisandra,2 BHK,1265.0,2.0,83.0,2,6561.264822134387
7412,Devanahalli,3 BHK,1700.0,3.0,88.2,3,5188.235294117647
7413,Narayanappa Garden,2 BHK,1475.0,2.0,70.0,2,4745.762711864407
7414,BTM 2nd Stage,2 BHK,1265.0,2.0,55.0,2,4347.826086956522
7415,Anandapura,2 Bedroom,1200.0,2.0,58.0,2,4833.333333333333
7416,1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
7417,Brookefield,2 BHK,1080.0,2.0,50.0,2,4629.62962962963
7418,Whitefield,3 BHK,2023.0,4.0,130.0,3,6426.099851705388
7419,Hanumantha Nagar,2 BHK,2400.0,2.0,125.0,2,5208.333333333333
7420,Kadubeesanahalli,3 BHK,1545.0,2.0,66.0,3,4271.844660194175
7421,Kalena Agrahara,3 BHK,1804.0,3.0,166.0,3,9201.773835920178
7422,3rd Block Hrbr Layout,2 Bedroom,1200.0,2.0,200.0,2,16666.666666666668
7423,6th Phase JP Nagar,3 BHK,1350.0,2.0,58.0,3,4296.2962962962965
7424,Hoodi,2 BHK,1108.0,2.0,74.23,2,6699.458483754513
7425,Marathahalli,3 BHK,1730.0,3.0,115.0,3,6647.398843930636
7426,RWF West Colony,3 BHK,1427.0,2.0,70.0,3,4905.395935529082
7427,Yelahanka,2 BHK,935.0,2.0,35.53,2,3800.0
7428,Sarjapura - Attibele Road,2 BHK,1073.0,2.0,31.77,2,2960.857409133271
7429,Ananth Nagar,2 BHK,960.0,2.0,37.0,2,3854.1666666666665
7430,Thigalarapalya,3 BHK,2215.0,4.0,150.0,3,6772.009029345372
7431,Electronic City Phase II,2 BHK,1125.0,2.0,32.49,2,2888.0
7432,Brookefield,2 BHK,1230.0,2.0,55.0,2,4471.544715447155
7433,Mahadevpura,2 BHK,1438.0,2.0,89.0,2,6189.151599443671
7434,7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2,6944.444444444444
7435,Hebbal Kempapura,3 Bedroom,1200.0,3.0,125.0,3,10416.666666666666
7436,Marathahalli,2 Bedroom,1200.0,1.0,103.0,2,8583.333333333334
7437,Uttarahalli,3 BHK,1590.0,3.0,58.0,3,3647.7987421383646
7438,Seetharampalya,3 BHK,1350.0,3.0,68.0,3,5037.037037037037
7439,Raja Rajeshwari Nagar,3 BHK,1400.0,2.0,48.0,3,3428.5714285714284
7440,Kaggadasapura,3 BHK,1560.0,2.0,72.0,3,4615.384615384615
7441,Mallasandra,4 BHK,1810.0,3.0,57.0,4,3149.171270718232
7442,Kanaka Nagar,3 BHK,2274.24,4.0,160.0,3,7035.317292809907
7443,Sonnenahalli,3 BHK,1484.0,3.0,74.18,3,4998.652291105122
7444,Indira Nagar,3 BHK,1650.0,3.0,220.0,3,13333.333333333334
7445,Stage-4 Bommanahalli,3 BHK,1455.0,2.0,55.0,3,3780.0687285223366
7446,Thanisandra,3 BHK,2280.0,4.0,184.0,3,8070.175438596491
7447,Rest House Road,5 BHK,4900.0,5.0,980.0,5,20000.0
7448,Frazer Town,3 BHK,2079.0,3.0,220.0,3,10582.010582010582
7449,Bharathi Nagar,2 BHK,1351.0,2.0,74.0,2,5477.424130273871
7450,Kanakpura Road,3 BHK,1223.0,2.0,42.81,3,3500.408830744072
7451,KR Puram,3 BHK,1430.0,2.0,61.0,3,4265.734265734266
7452,Whitefield,4 Bedroom,3589.0,5.0,400.0,4,11145.165784341041
7453,Electronic City Phase II,3 BHK,1310.0,2.0,37.83,3,2887.7862595419847
7454,Channasandra,4 Bedroom,1800.0,4.0,300.0,4,16666.666666666668
7455,Giri Nagar,4 Bedroom,1120.0,4.0,175.0,4,15625.0
